userid,deposit_type_id,regularity,deposit_rate,issuance_date,expire_date
8374711199,571618261303,25,30,2017-10-30,2024-07-11
9939222108,113015344491,205,2,2011-10-18,2016-10-31
4214800124,662164720563,277,24,2008-10-27,2012-11-19
4567265893,969018805139,187,28,2013-06-13,2023-03-15
9982207735,427392926979,19,22,2018-11-10,2022-08-08
6474098315,380952775525,359,20,2016-05-08,2021-05-10
8177848991,791641176479,294,2,2012-07-31,2015-12-28
8718448322,958592059544,62,18,2009-05-08,2009-05-09
6184060792,418788174475,88,27,2009-12-22,2012-06-21
7290224476,432359179410,150,3,2019-08-05,2020-12-22
2996989945,271478350543,274,27,2015-05-03,2016-08-11
2500629979,604227936672,165,26,2016-06-28,2017-09-12
9663303335,396252705868,36,8,2014-02-10,2015-04-05
6136571212,979359056567,303,2,2019-06-24,2020-04-19
7462017240,685849318959,199,17,2015-03-05,2018-06-26
4638745816,433868697190,18,9,2015-03-11,2017-07-14
7806045327,342026882187,197,19,2012-12-04,2014-08-18
1540517862,142504023180,232,13,2010-08-27,2015-08-12
3321585008,700174311448,243,6,2010-08-06,2014-05-06
5021175689,958578327560,239,4,2019-07-29,2027-11-18
5634409611,539908147609,355,14,2013-08-06,2015-05-27
2391587730,950979483527,256,29,2016-12-15,2026-06-22
3027734408,630505454589,76,8,2010-10-22,2021-04-11
8509109578,566518877725,2,12,2008-06-15,2012-06-01
4423559318,953247154065,278,20,2012-03-08,2015-08-28
7562040048,667730044223,288,29,2017-08-11,2027-09-05
2116126854,896960914336,139,22,2014-08-07,2020-11-22
9836766497,708820244522,133,21,2009-03-05,2014-09-19
3680128862,919513023768,298,3,2019-02-17,2023-01-21
1098011715,512993659483,290,2,2013-03-27,2013-12-14
7111623226,769083952076,351,1,2019-08-15,2024-12-09
4618155086,885552721380,246,7,2019-03-11,2023-01-18
2229043709,951843881149,86,21,2016-10-16,2016-12-13
2019739748,599514431281,204,6,2014-05-21,2026-04-02
4453053207,332957921323,45,2,2015-10-16,2026-05-07
2857170191,325796059642,242,29,2017-11-04,2022-04-04
5354497472,313237920887,22,20,2019-01-02,2025-11-04
2338434186,729210261146,360,23,2014-08-04,2025-03-23
7207237850,708882711280,325,15,2009-09-15,2016-08-07
7755528331,412766843153,263,20,2011-09-13,2018-05-04
7913468916,320964921320,65,19,2010-01-11,2021-06-24
7620036317,307551660473,191,7,2019-02-07,2028-01-23
9145902470,486923474468,99,10,2017-01-16,2025-11-01
8236395044,929199441650,257,2,2011-03-27,2018-11-17
5328473990,578211955770,330,27,2008-11-21,2015-11-26
3624692906,150432243768,196,10,2018-08-12,2028-01-12
6752435604,277882177290,122,13,2015-05-06,2020-06-01
1974236581,152942508889,38,24,2011-10-07,2022-03-13
7293475554,563547339596,348,3,2013-03-09,2021-07-14
9886485436,807942592600,311,8,2011-02-26,2016-01-10
5241698221,105510635219,199,1,2011-05-28,2022-12-28
6951388216,930474687623,40,20,2015-07-10,2026-01-08
6234375741,595145629064,342,25,2009-01-15,2011-03-01
5149828390,242257604322,310,10,2012-07-07,2014-08-14
3057081657,477980483406,196,26,2018-08-18,2026-11-11
7200661925,900583009114,284,0,2008-02-13,2014-03-22
4110237284,867667938610,126,16,2016-06-25,2023-01-29
3007419214,417296463077,275,21,2010-05-27,2019-10-09
7643815915,137589641955,272,23,2014-11-07,2026-11-01
5431987018,346585415331,7,7,2012-10-02,2016-05-28
6257968678,878521318407,149,2,2019-10-21,2020-10-28
4715214957,308942038404,19,16,2017-02-23,2018-11-13
6748187233,831105973263,65,14,2010-05-26,2011-08-07
2149928172,218777565476,224,18,2014-08-07,2026-05-25
7883213111,273717396946,60,6,2015-08-14,2020-09-20
5773249288,696023140820,140,19,2011-08-29,2023-01-15
7147866752,805707574274,329,3,2013-05-21,2020-12-09
2387417044,622012150272,167,2,2008-11-07,2014-05-13
1339768165,292272078791,243,21,2016-06-24,2016-08-17
6040816615,471046365926,69,16,2018-11-12,2026-08-05
7666711025,752682140570,269,26,2017-08-12,2027-01-24
4688392056,314247574963,120,23,2014-09-16,2017-01-12
6693826030,158869760293,189,2,2015-04-18,2026-10-01
8405668770,353671533081,285,21,2017-09-26,2026-12-24
2084293254,854233599347,131,26,2010-10-24,2021-08-22
8461240057,656138976032,173,4,2008-04-24,2013-04-21
1890320781,249579060216,20,19,2011-03-01,2013-02-01
9833272016,109672007369,304,1,2018-10-22,2028-05-30
2980121261,946499302658,340,1,2011-03-01,2013-09-28
4393397392,994526340546,92,9,2014-02-06,2020-12-06
6859623147,865378705578,257,16,2015-03-31,2020-02-03
9611245266,507426898072,92,12,2010-02-04,2020-12-18
5964567168,669238510151,173,24,2016-04-15,2022-12-17
4968011925,479886980228,46,11,2017-06-01,2024-11-27
2222243851,626821712473,157,13,2008-06-11,2010-01-09
9498436843,925997840137,31,11,2016-11-09,2019-07-31
1105699498,928725657495,57,20,2016-11-16,2017-11-06
7620269447,948284930838,235,0,2012-02-21,2020-04-22
5175514664,437632091934,314,26,2015-05-28,2026-01-07
5542501955,354971013873,108,10,2019-05-05,2029-08-15
4083637536,406455444417,148,16,2008-01-18,2011-11-14
1373092819,853995604851,323,13,2011-10-02,2018-02-26
3520547967,825867358245,260,15,2014-11-24,2016-01-04
1827360482,191510392341,169,2,2015-03-19,2015-08-02
3185501168,118979619182,283,30,2015-12-20,2023-02-09
9458371677,343411664791,125,6,2012-12-27,2014-02-23
2993783119,169952145953,136,0,2019-05-05,2030-09-16
9558760753,223007460936,178,14,2014-03-26,2017-11-09
2502258761,327767783577,173,7,2008-05-30,2013-02-06
7286637015,531626494920,24,1,2015-07-10,2018-04-26
2679008298,486535516525,327,25,2016-04-23,2017-06-17
6701134346,687481333016,206,23,2008-01-05,2013-10-29
6036548732,490152241762,207,0,2013-10-29,2024-06-27
5248281743,199737513866,209,9,2013-09-07,2020-01-23
5075865411,977253997233,250,28,2008-09-29,2010-11-15
5932202293,497475241714,53,18,2013-03-31,2015-01-29
8359619230,623720181194,76,7,2017-03-12,2020-03-16
8001745760,887109711576,232,11,2010-11-15,2012-11-30
6599600243,836289825570,248,8,2016-09-15,2024-09-15
7121931645,846085042238,75,28,2019-08-30,2022-01-05
6997631635,274929349164,117,13,2009-08-12,2019-12-10
1125077683,783826381464,154,3,2010-11-27,2017-09-14
7466694011,945195162123,330,15,2011-06-12,2019-05-27
7620826439,897859977790,45,5,2012-04-19,2017-04-08
6273898780,217226678163,133,14,2010-03-05,2011-09-16
6293051858,437950111323,219,29,2010-05-30,2019-02-03
9578166054,947479959446,100,29,2018-06-21,2029-12-20
6332324325,378651818458,20,14,2014-04-12,2018-03-16
8024341866,870234404807,285,4,2015-06-20,2024-05-07
7239533116,582248591735,190,14,2016-10-31,2020-06-10
6075502657,911912349320,256,17,2012-10-26,2017-03-14
4697313408,371539189472,165,16,2008-10-12,2012-08-01
6465170784,307343746805,33,26,2012-06-30,2023-02-17
4503217893,202228189797,300,19,2019-04-11,2020-04-26
2391914529,540123486893,341,18,2011-09-11,2021-05-17
6510577504,161793304849,354,11,2009-11-21,2018-01-29
6886411327,714195500457,337,4,2008-07-15,2012-07-03
9578853947,998174158489,146,21,2011-10-22,2021-08-13
1631200315,475600687871,7,8,2019-01-16,2020-08-09
7837349338,987318022712,231,10,2014-11-28,2020-06-09
8767188281,572187972250,269,27,2016-06-07,2021-02-24
2645612544,512100814258,45,6,2017-06-07,2027-12-11
6279978460,237563801956,304,10,2012-05-04,2017-01-30
2380377622,531952427772,250,0,2011-03-13,2011-05-19
1490749412,331755931418,118,28,2012-02-20,2012-09-14
8986638247,763176780132,211,27,2014-09-07,2022-07-11
8027379425,352961493917,242,3,2014-07-11,2018-10-23
6694591880,189531260115,179,13,2018-11-17,2024-08-17
2557273433,775155547186,115,30,2017-01-26,2024-06-19
1026835227,209822982002,352,30,2014-06-09,2023-01-30
1313645433,795554607824,24,7,2014-10-22,2016-12-18
5209058925,677937611606,49,4,2015-01-05,2024-01-31
4243739557,647181532973,23,24,2012-12-31,2020-09-28
1416623844,423863021737,64,6,2018-03-02,2029-11-26
4014978458,867829726464,315,10,2017-02-26,2024-03-12
4448272076,235403606504,335,22,2011-08-04,2022-11-23
5879946825,226237718508,351,11,2013-01-30,2019-10-11
2716411304,274595769225,176,19,2019-02-26,2029-04-15
4408270206,853377361997,184,6,2013-03-18,2021-08-27
1351593550,237427440078,33,27,2018-05-06,2029-07-12
8285561341,662173907900,252,1,2015-05-18,2018-01-03
2526981991,564332704124,279,11,2012-05-27,2015-04-07
9156009977,353822680201,329,28,2015-11-01,2023-03-18
4289267087,669751368414,65,26,2013-04-16,2023-03-29
9253001122,269728048677,346,1,2017-10-17,2027-02-26
9494790388,357544420917,239,20,2011-07-03,2022-09-19
6384599764,344579316364,139,21,2012-07-08,2024-05-23
9187242875,425446962125,156,15,2016-02-27,2021-05-18
3599627294,944991843368,88,1,2008-04-06,2016-02-09
6062480207,118425842786,166,3,2011-04-11,2017-07-20
8420376462,411877809932,32,0,2010-09-30,2016-07-01
6009306633,635599387193,31,28,2017-03-17,2026-09-16
3501617145,819963126023,71,20,2016-11-22,2017-12-11
6877088718,925098077701,211,15,2010-02-23,2014-09-17
5782917312,710247922063,159,8,2014-09-24,2015-08-08
7402156565,335152384201,187,8,2018-04-29,2027-05-05
5983040262,131266797243,316,14,2014-08-18,2023-03-14
1541727602,783292054046,48,17,2008-07-29,2010-09-13
7880792500,644285902233,232,15,2014-10-09,2019-06-16
7465315875,314274478339,271,16,2012-11-09,2020-12-26
3490810754,359984545411,190,1,2015-09-13,2021-12-11
5498662141,868425454725,360,15,2013-01-17,2020-09-23
4905045778,147904377716,337,6,2016-06-24,2020-01-14
6030394381,805259764669,72,7,2013-09-19,2023-03-18
6970863243,281362289093,322,5,2014-04-24,2021-05-02
2757148917,998919462898,156,11,2018-02-03,2022-11-17
9607738292,429552612890,166,11,2016-09-07,2017-06-06
6327099633,868621122156,80,5,2017-06-30,2028-07-15
1623618056,700787237858,18,9,2009-05-04,2018-07-18
3785223991,933308474824,325,29,2010-05-15,2021-11-12
6291904250,570204171574,180,8,2010-02-08,2021-07-30
2969551880,155866604948,12,15,2011-08-23,2013-12-05
4526907220,927127652916,359,3,2017-11-16,2027-07-11
7140780133,875760657644,229,24,2015-10-27,2019-06-02
9439794913,811793448987,191,15,2015-04-30,2021-10-31
4483179690,334015877912,43,30,2018-01-08,2020-04-14
1687800145,731895965277,99,19,2018-06-02,2029-07-13
2990095662,840558675341,318,29,2008-05-04,2017-02-04
2450647412,534649359496,319,20,2013-06-14,2016-03-20
5644310659,235124580584,5,8,2014-06-20,2020-11-28
2044775846,190221058672,250,8,2012-04-19,2015-09-13
6929081379,433072060217,239,6,2010-03-03,2016-12-29
8838868872,885957772843,347,8,2008-11-10,2011-10-09
2911500268,887349223437,51,23,2019-05-05,2021-07-07
8275227813,315113610236,72,21,2018-08-23,2023-05-26
3898033183,812356003785,291,19,2013-04-27,2022-11-01
6803033605,735286133865,182,4,2013-03-22,2016-04-26
3278930155,991036188679,16,29,2013-05-26,2018-09-10
8826913222,898128846667,245,4,2017-06-29,2023-01-08
7814515302,963707543377,133,8,2016-09-11,2016-11-09
6405726313,196943778082,336,15,2010-08-20,2015-07-25
6090458821,398566291221,15,22,2012-07-05,2017-07-28
9979435457,168091751100,223,16,2008-12-11,2019-08-01
9810995126,479782527752,110,16,2010-04-12,2019-06-26
2968228099,366210398987,67,28,2008-11-24,2020-02-13
7098020902,562777027030,138,16,2008-11-15,2013-10-18
8175058920,900376590743,7,25,2013-02-25,2024-04-20
4407165395,405564689473,271,10,2014-02-19,2024-06-13
1205878035,960432923231,279,15,2009-05-14,2013-03-19
3475610713,161337700480,144,7,2019-08-29,2020-03-22
5659608827,745953385881,197,30,2009-10-07,2019-06-25
1864017071,443035058655,49,29,2016-08-24,2026-10-24
5767958493,333897942793,90,6,2014-10-29,2016-04-09
9483037138,140203688982,94,2,2009-02-06,2011-04-03
7889701978,145099351825,257,28,2014-10-03,2015-10-11
9365360043,596229837879,274,24,2008-05-23,2013-03-10
8938926089,173419606566,54,21,2017-11-12,2019-03-01
3344661132,773563483193,170,23,2011-02-07,2015-09-27
2188522673,903889017265,296,22,2012-05-31,2020-09-08
2677144397,567530496106,150,22,2015-01-15,2021-11-04
4526428650,586113673512,127,9,2011-05-14,2017-10-21
1153503036,334187521628,62,13,2010-08-17,2014-04-09
1893139228,930747371331,65,23,2009-05-04,2016-08-30
3827237206,275865566988,87,8,2017-10-25,2018-12-16
8485801706,844932586852,153,28,2011-10-26,2023-09-23
5863575978,766657392484,299,0,2009-08-26,2012-09-22
3922548166,753025363823,51,11,2011-12-27,2019-01-25
4426807356,723435781660,55,9,2012-01-13,2012-07-21
7222324874,709907040424,62,6,2014-08-23,2020-07-14
8949999609,467958377543,239,24,2017-04-25,2025-11-03
6008471394,198212796685,361,12,2010-01-04,2014-02-21
2424667763,668634732515,46,20,2013-02-12,2016-03-13
3711459803,238390973736,241,14,2010-05-14,2010-06-05
6252616291,867833209160,173,7,2015-08-19,2024-07-01
2212583330,482562203301,303,3,2019-05-12,2023-12-06
2208135272,729737892725,104,1,2009-11-20,2018-02-27
8209985243,108056425705,157,1,2018-08-15,2030-08-09
3593918468,266781764727,49,16,2019-04-24,2028-06-13
6017700726,796814181697,287,24,2011-11-07,2013-01-28
5235909781,208103476387,244,1,2010-01-10,2011-06-27
3271851584,964255462131,39,6,2012-02-26,2021-08-07
2022982987,558339709055,109,18,2017-09-17,2026-11-19
3258829939,403534070281,16,5,2008-07-03,2013-03-11
8044375822,163157266258,293,4,2014-11-30,2025-12-21
1423981101,356392378265,277,25,2017-04-11,2020-08-18
2595969531,615223055166,110,19,2012-01-21,2019-10-14
4346638043,461836335634,59,4,2019-10-19,2029-09-20
2327502346,486139563709,110,22,2019-12-16,2029-11-07
3358670537,954228582116,263,17,2011-07-04,2014-05-30
9629903888,752913229221,285,21,2013-12-28,2015-02-23
4039737646,123285912227,23,0,2018-10-03,2022-09-06
8483205512,231265118867,312,10,2018-02-03,2021-12-17
5346310712,551547783893,282,29,2016-10-05,2022-01-19
3721489868,472215714895,181,19,2019-09-15,2024-01-12
8005101997,560784611829,262,29,2016-05-14,2017-10-04
1536500104,958282014842,180,29,2009-04-09,2016-08-12
5892128906,573912823142,82,8,2014-01-07,2015-11-14
4509385091,671840215480,365,3,2014-01-04,2019-04-11
1900385414,798481154354,305,28,2017-08-24,2027-12-10
8193236413,126608175573,264,14,2016-09-09,2018-07-23
5986094248,915583258036,294,16,2017-08-23,2028-12-13
8978362104,853960510074,245,12,2008-11-25,2020-06-23
5697220563,808781494354,319,13,2015-06-07,2019-06-24
2365583537,886037587966,228,5,2013-05-31,2018-09-26
4323810844,158024616815,47,9,2016-08-09,2027-05-16
8348096355,845875090491,302,10,2009-11-20,2018-05-11
9149886132,515606262513,284,23,2018-08-04,2023-04-26
7236752508,226046019639,179,13,2011-01-03,2014-04-17
5348779318,745122086823,125,27,2019-07-04,2029-02-06
7709840669,418870400893,255,1,2013-03-23,2021-02-11
4129159130,671531915271,356,7,2015-07-30,2024-08-26
2049779018,550132273616,2,6,2016-01-17,2017-11-28
6891135892,930360727833,78,26,2012-09-19,2022-09-11
6964679316,580321015325,96,29,2010-05-08,2022-01-26
8536160914,948453749869,260,7,2013-05-18,2023-05-22
8446632353,102623644599,7,1,2014-01-14,2023-08-25
1229111595,178517788824,243,6,2016-02-16,2024-09-20
3344607893,227185899675,72,11,2009-04-04,2017-07-15
3442620500,827072177626,355,0,2009-02-26,2009-03-06
4496184229,591575269283,303,7,2016-12-30,2020-01-15
4196274379,930360904742,292,15,2019-11-11,2028-09-19
7708498254,575634518412,36,21,2019-02-13,2026-06-08
1842618294,397162692342,283,18,2018-05-17,2029-03-14
5798244328,535643603183,175,13,2008-01-26,2010-02-06
3231097369,623061876601,240,12,2015-10-17,2019-06-14
3630225466,998467736708,74,26,2017-05-26,2026-10-28
1362422563,961537594514,190,11,2008-11-17,2019-01-29
3134290661,388614755636,307,17,2009-11-09,2010-09-16
8759715659,909965480766,81,15,2012-08-27,2024-02-17
5264579591,803753156990,199,0,2012-08-18,2015-11-12
7342943341,925403678852,240,22,2019-02-03,2026-01-27
8219023596,787934621139,246,4,2008-04-03,2018-05-16
1460511557,105737017513,165,30,2011-12-10,2012-09-17
3787085894,626133877476,88,13,2009-11-18,2013-09-11
4726646442,851239733482,125,28,2015-03-18,2022-12-26
2135089728,108786485835,185,2,2019-04-18,2028-05-20
1012032662,411044272161,365,13,2009-07-12,2021-05-02
5743013726,887617236747,81,6,2017-05-27,2020-12-05
1171500227,333970262597,266,29,2009-10-05,2015-10-09
7130397034,585151629383,176,0,2017-10-18,2020-08-30
1616374913,563263552932,47,0,2014-02-07,2015-11-07
7130300192,459320640528,23,30,2012-11-10,2013-06-23
4605033634,976084924969,236,15,2014-06-17,2015-09-16
7853561983,682721107942,164,9,2014-07-21,2015-04-25
3983684369,142247720859,88,4,2015-12-16,2017-06-03
8195890522,153467176361,300,1,2009-11-04,2010-09-29
9635395376,328679876724,325,1,2015-09-22,2019-11-09
8274814668,822722864780,144,10,2016-03-19,2026-10-13
7732109353,257426148471,49,13,2011-06-03,2021-02-26
3659852703,856034685773,174,8,2009-04-10,2013-10-17
1495973802,398253721301,106,3,2016-05-06,2024-02-03
3145524795,205385399726,187,0,2015-05-07,2025-01-24
1133499635,794434312148,342,4,2008-10-10,2009-09-03
7531369868,723374568707,201,24,2010-12-09,2022-11-01
2224105512,894795487228,83,10,2019-05-25,2027-02-04
2722905147,830356089968,327,16,2011-09-25,2016-05-31
9939137955,928293854855,263,23,2018-09-26,2023-07-08
8528207154,640080305189,11,23,2010-08-08,2020-02-28
4031608104,820718271610,172,25,2008-02-05,2009-05-11
3185300097,507549882356,167,25,2018-04-23,2023-08-07
9143327480,319328436444,144,17,2012-11-06,2014-09-14
2945092375,312018608095,68,1,2017-05-09,2023-07-22
7829827033,886231803036,96,20,2013-01-08,2024-10-19
3966918413,356541063112,19,8,2016-03-25,2017-03-18
1060133951,955421298920,311,17,2009-10-09,2020-03-14
8561679778,384933802964,179,30,2015-05-04,2020-11-17
4875114996,477905728380,203,20,2016-09-07,2017-06-08
4797499964,338225182016,183,28,2009-04-18,2014-01-27
7543167803,287229105200,54,13,2018-09-25,2021-04-13
4432770368,348266796242,361,19,2016-05-24,2020-04-16
1645542583,245881840310,311,24,2015-05-04,2025-03-11
9615743054,763335459550,305,22,2016-06-20,2024-08-07
1838361818,773897682942,322,3,2015-05-06,2020-09-04
4295353548,520382855660,31,18,2010-01-18,2018-07-24
7602963592,143604575466,82,3,2017-05-21,2021-01-29
6231101735,579173571383,191,20,2009-04-18,2012-11-30
2276977524,308528067462,33,26,2015-05-09,2024-08-09
5780145827,509205631672,345,5,2014-07-15,2017-06-18
5395948009,830502920524,5,28,2011-12-19,2021-12-17
4255231375,633288051321,315,8,2017-04-25,2019-02-01
6377898466,702751460968,325,8,2019-12-01,2030-01-04
5830951671,456754266803,122,30,2018-05-15,2020-04-29
7795860048,949485068469,324,15,2019-01-05,2019-10-16
7295200957,400666517013,44,6,2008-01-26,2015-06-13
9361629041,589718834546,25,5,2011-01-26,2022-12-27
3899270664,835792357189,340,16,2015-04-06,2026-12-15
1803135738,611463517315,257,23,2011-07-23,2019-08-06
6882591847,268161880616,189,26,2015-01-11,2017-11-26
4131011714,920970242717,354,15,2012-11-07,2017-05-27
2673529085,249654246971,43,28,2014-02-21,2019-01-08
4695057915,422919566475,122,29,2018-05-02,2018-05-12
2224802634,489713416816,103,22,2010-12-13,2016-05-24
8598396895,729185871755,323,2,2012-08-03,2023-12-11
7704801483,626494066257,238,1,2009-01-22,2020-12-26
8044356658,716894889353,355,18,2011-03-13,2018-03-25
6730029461,470474573882,289,27,2016-04-10,2021-02-09
2287846091,173265885706,13,27,2018-11-30,2024-11-07
4853088584,206568303517,249,21,2018-11-01,2025-11-30
9895705042,998399448693,235,9,2014-03-09,2021-06-04
1677237103,856863819789,235,24,2009-09-21,2012-01-04
6379906144,555149742967,97,4,2013-03-11,2021-01-27
5026386172,440670428926,296,8,2009-11-12,2013-11-22
5508529120,842182443158,126,24,2019-07-29,2021-03-31
9407639347,268784290239,116,15,2010-09-11,2022-03-25
5655059308,853219429904,66,29,2012-04-24,2014-05-09
9268533944,234979673392,59,28,2009-06-27,2016-12-07
4251944145,115997733233,162,28,2014-04-05,2015-11-23
2669702457,770074925580,96,3,2016-10-16,2024-08-26
7719836634,314445535408,299,1,2008-03-14,2011-01-31
4288717565,758618995335,87,0,2011-05-09,2016-11-22
1492542376,776052479123,263,0,2019-02-10,2025-11-16
1701770375,329329291726,122,11,2008-12-23,2019-09-30
3570554136,924899706547,24,5,2013-09-23,2014-07-30
4780981842,569596344488,100,17,2008-01-23,2013-04-29
6969230314,380696356140,308,8,2011-07-16,2014-03-17
6720676044,264996812014,155,25,2008-09-22,2011-12-31
9914871509,266078198582,17,23,2008-02-25,2019-06-10
2299091820,459382389706,83,8,2015-10-29,2023-12-13
7302598150,262664564546,63,23,2009-04-19,2012-11-27
9638364318,198291688321,169,6,2014-04-15,2026-03-27
4150393446,928447435343,174,16,2017-10-16,2025-04-08
5012539920,567481425252,47,1,2019-03-31,2023-10-12
2776331874,205685063679,258,17,2011-01-20,2019-05-01
6310120390,287753372145,57,21,2012-09-02,2016-01-07
4170224727,599347972201,105,5,2014-09-13,2024-10-01
9229424828,436411955316,306,17,2011-10-13,2015-03-04
1399426730,847746589256,275,29,2012-03-30,2012-11-28
5870758054,742470193633,338,13,2015-02-20,2025-05-17
9904279858,660910138642,189,3,2019-10-31,2023-01-10
1418196871,677253880529,320,19,2011-08-17,2012-08-29
6222457787,120581792392,263,23,2008-10-28,2019-04-26
6836453475,601664441329,79,25,2009-11-09,2012-02-24
2429101698,884925179146,72,2,2011-04-11,2014-04-10
6971596772,445398680145,112,20,2013-11-11,2020-09-12
5517141308,719714354925,143,10,2018-07-08,2023-04-11
9722942868,266644050802,63,23,2017-11-22,2025-07-20
3549887081,904681224977,20,12,2016-03-05,2027-02-21
3366111939,537828815315,255,28,2012-09-16,2017-01-08
4505327806,772172617898,328,23,2011-11-10,2021-01-16
1191530020,462021781767,310,9,2015-12-05,2026-08-12
1398875551,648203035339,41,22,2014-12-23,2015-11-25
5928565108,145124908508,223,19,2015-10-04,2015-11-11
2900919057,150278949736,293,4,2015-12-20,2016-01-26
8044155630,515683444541,289,28,2012-08-18,2022-05-02
8155421421,538542488268,21,29,2011-04-09,2019-12-25
6565042423,206170937586,236,21,2018-03-04,2030-02-18
8777788118,445013747262,57,18,2016-05-19,2017-11-25
1331537446,336101402674,19,12,2013-09-09,2018-07-03
9596683374,376670727508,265,18,2018-05-19,2020-11-01
9122120037,808770258747,301,21,2016-10-31,2024-02-05
8004764149,708679507666,270,15,2010-11-11,2018-06-12
1102670086,870756518820,352,10,2015-11-21,2018-07-31
8850067733,717932742450,364,25,2014-01-15,2019-11-16
8280973606,321148340613,304,12,2019-06-02,2025-01-30
4826131931,133565648432,183,8,2008-01-20,2010-03-25
2830648343,856726280691,302,9,2012-12-20,2020-07-07
4965706088,173401775370,170,8,2014-09-02,2018-08-13
9421433188,979567342862,340,9,2014-08-20,2022-04-28
4299585461,168372830943,67,29,2015-12-12,2026-02-18
7162207981,709894449418,177,29,2015-05-28,2017-01-11
3211148030,885461411757,266,11,2008-04-03,2011-10-28
6605817512,567974054206,47,30,2009-03-09,2015-10-31
3447685626,773401059612,53,3,2008-11-06,2014-01-26
3515038920,634486551975,349,2,2009-03-26,2017-10-07
8739482102,419465725355,199,29,2009-12-20,2020-01-26
1678484835,660767016492,22,29,2012-12-28,2022-10-07
9956340540,240431192676,277,18,2014-07-13,2021-04-20
1694100150,285964705346,111,15,2014-01-02,2015-09-27
1097767991,808685294067,212,8,2014-11-05,2021-08-02
8308465648,220982762143,243,24,2014-02-17,2025-11-06
7090479702,704757079737,254,6,2012-04-22,2012-07-18
5415100404,172968485904,365,16,2019-03-18,2031-01-21
1712937024,979897808078,82,11,2018-04-06,2028-06-03
5350451149,607167145641,327,22,2011-02-04,2020-12-25
5871686303,189929704230,88,21,2017-11-23,2020-04-17
3006634861,441854498741,330,30,2009-01-06,2020-07-18
7073629426,135318284965,59,18,2016-07-09,2021-08-19
1362164143,162142183281,308,23,2011-08-29,2023-06-18
5320583373,794265190307,337,16,2016-02-21,2019-11-10
7738404527,415530290896,211,19,2012-02-11,2013-05-30
2438119753,551665427991,103,3,2009-01-01,2011-02-25
2123920058,178797030617,69,2,2014-11-17,2015-11-16
9002134518,671049647962,261,17,2014-12-09,2024-09-13
1784588042,689735809627,127,28,2008-07-10,2017-04-14
1820697046,664899761182,340,24,2014-05-12,2025-12-25
9935627818,460976047408,200,1,2012-11-21,2020-07-05
9070004482,510809429027,243,27,2015-03-15,2023-08-28
2546537695,188965964658,98,11,2009-10-05,2014-02-25
4457919002,105887888215,334,10,2015-10-02,2024-01-17
2560331606,457591769708,287,13,2013-09-16,2024-10-06
9975870837,182908692644,285,3,2013-06-26,2022-02-18
8880418254,368827847911,106,26,2019-12-04,2028-11-13
6660815137,781189473296,312,17,2008-04-08,2016-07-29
