userid,credit_type_id,regularity,credit_rate,issuance_date,expire_date
9886485436,182093743511,52,11,2017-04-17,2017-11-10
5241698221,745008196332,32,25,2017-09-12,2027-10-17
6951388216,291035736903,200,10,2011-06-09,2016-10-16
6234375741,125972257419,297,20,2018-04-20,2018-09-28
5149828390,417705292094,61,20,2018-02-14,2029-12-27
3057081657,985518800451,54,2,2012-01-08,2013-02-13
7200661925,541981703621,260,28,2012-06-01,2016-12-21
4110237284,570677475923,322,29,2010-06-22,2019-05-11
3007419214,601618283029,353,12,2013-07-31,2024-03-23
7643815915,912789303964,58,15,2012-04-06,2016-05-18
5431987018,513998275323,205,20,2019-06-28,2029-12-03
6257968678,939271561517,325,13,2014-11-18,2021-12-30
4715214957,449478187946,4,4,2010-03-01,2016-08-31
6748187233,303688164055,260,1,2013-12-26,2014-12-19
2149928172,627683491365,119,14,2013-03-26,2016-12-23
7883213111,679969727916,328,15,2013-04-25,2023-03-13
5773249288,507091051893,125,0,2013-08-01,2021-03-01
7147866752,435742741006,162,0,2017-01-16,2027-06-01
2387417044,432517105473,361,20,2015-02-16,2020-04-10
1339768165,477038521959,60,17,2013-09-10,2024-01-01
6040816615,423700765691,57,28,2010-10-27,2014-06-16
7666711025,295149431438,256,25,2019-08-13,2029-05-22
4688392056,460736635496,73,19,2012-03-28,2019-06-02
6693826030,457647086264,365,14,2009-04-27,2011-12-23
8405668770,190901226174,319,24,2016-05-10,2022-06-24
2084293254,142277338611,362,21,2008-07-03,2019-09-10
8461240057,686838087754,117,12,2019-05-13,2019-10-18
1890320781,743212401411,79,16,2009-04-23,2011-03-11
9833272016,645873441359,305,10,2015-10-30,2027-01-10
2980121261,281593044277,68,12,2019-01-12,2019-12-31
4393397392,966357417681,87,27,2008-06-21,2016-12-24
6859623147,564937291815,119,0,2009-05-06,2010-05-07
9611245266,145370171930,194,29,2012-11-13,2016-12-08
5964567168,615695655427,110,10,2016-11-03,2017-01-20
4968011925,362164316301,66,23,2010-01-21,2010-09-02
2222243851,286804879310,42,24,2012-06-15,2017-09-02
9498436843,690422794699,113,15,2009-08-26,2010-05-07
1105699498,852460412003,62,2,2011-09-17,2015-12-07
7620269447,592261800942,344,15,2017-08-16,2028-11-24
5175514664,829173232448,138,25,2014-11-25,2026-02-18
5542501955,772899198913,203,26,2017-07-28,2028-04-15
4083637536,212467501238,113,3,2015-05-15,2021-03-05
1373092819,429753609422,100,12,2019-09-23,2029-02-25
3520547967,914162509639,213,12,2019-06-19,2019-12-30
1827360482,926649557364,272,17,2010-06-11,2011-07-04
3185501168,419716871477,270,11,2015-06-29,2023-12-19
9458371677,288382259392,327,6,2012-10-04,2022-01-01
2993783119,103384190392,36,28,2014-09-15,2019-01-27
9558760753,338832442289,123,0,2018-07-21,2024-03-13
2502258761,613332745235,160,19,2019-06-05,2028-11-24
7286637015,888253338746,198,12,2009-09-11,2016-05-31
2679008298,778103809689,82,5,2012-11-22,2013-06-03
6701134346,225732791445,92,12,2012-08-22,2021-01-28
6036548732,760335253282,227,27,2010-04-13,2010-08-22
5248281743,670873298678,32,23,2013-02-25,2022-07-07
5075865411,167079650446,207,15,2016-04-24,2016-12-02
5932202293,664583313271,190,15,2014-02-27,2016-04-02
8359619230,645697619461,226,10,2017-09-16,2019-01-14
8001745760,578169248118,252,24,2012-06-16,2022-03-03
6599600243,568557569535,319,4,2010-03-05,2015-08-05
7121931645,741923050712,173,8,2010-02-03,2021-06-04
6997631635,970268485069,321,5,2012-11-26,2019-07-12
1125077683,751384395510,335,27,2019-07-11,2024-11-09
7466694011,978696432269,118,6,2009-05-23,2010-07-05
7620826439,787450421244,299,18,2017-08-29,2021-09-23
6273898780,433655370050,222,23,2018-04-21,2022-10-04
6293051858,934042808934,154,0,2017-01-04,2019-02-24
9578166054,531836347905,195,5,2010-10-30,2012-08-13
6332324325,785146802484,309,23,2017-06-05,2027-04-22
8024341866,584798008848,192,7,2013-07-03,2017-05-04
7239533116,769756199374,229,14,2010-01-29,2020-03-21
6075502657,816512756690,150,27,2012-12-01,2018-05-26
4697313408,387641933676,177,17,2018-10-31,2019-05-19
6465170784,865317476662,143,16,2009-08-27,2011-11-05
4503217893,403245514667,286,24,2019-11-09,2021-10-23
2391914529,376181186237,57,2,2019-11-09,2024-05-31
6510577504,241872998391,135,28,2013-12-05,2021-11-02
6886411327,157164742371,278,30,2011-07-18,2012-05-30
9578853947,672492659710,21,12,2019-07-28,2021-09-29
1631200315,415700081945,85,26,2015-01-17,2017-07-29
7837349338,299134342365,282,10,2008-02-06,2008-09-10
8767188281,531673202077,98,11,2008-09-04,2012-10-26
2645612544,915126518757,95,5,2016-04-25,2024-07-15
6279978460,111509506116,126,29,2010-12-02,2013-09-24
2380377622,175387023121,41,2,2008-04-01,2010-12-03
1490749412,443060890269,276,0,2015-02-28,2022-04-09
8986638247,710281938397,114,29,2017-07-25,2023-11-08
8027379425,142730070038,248,15,2008-04-03,2016-03-31
6694591880,291912733174,189,14,2016-11-26,2020-06-21
2557273433,508966237045,346,22,2014-09-30,2021-03-27
1026835227,509342323270,40,25,2015-03-29,2024-04-20
1313645433,955126319708,205,15,2008-12-24,2009-07-21
5209058925,598944774329,315,11,2011-11-07,2015-10-01
4243739557,119834838901,29,0,2018-10-16,2029-07-24
1416623844,887628477629,237,11,2009-06-08,2017-07-24
4014978458,720728035263,238,2,2009-10-29,2021-03-30
4448272076,431144794340,2,0,2010-03-04,2017-11-13
5879946825,593443473731,99,6,2010-02-09,2020-10-14
2716411304,284270450270,148,23,2009-04-05,2012-12-03
4408270206,419297552988,69,12,2018-05-24,2026-04-26
1351593550,630988466110,163,1,2009-10-08,2009-11-02
8285561341,191748361095,212,6,2012-03-08,2015-12-22
2526981991,137461457160,323,17,2018-07-24,2022-07-01
9156009977,534477643866,53,9,2014-10-02,2025-11-20
4289267087,638824103301,73,29,2014-06-15,2018-08-19
9253001122,329300302946,265,15,2019-03-02,2023-02-19
9494790388,662855096704,26,15,2014-05-01,2017-09-23
6384599764,346615405364,131,12,2015-09-08,2025-01-12
9187242875,788170443144,83,2,2010-06-07,2022-02-25
3599627294,941039635312,3,15,2015-07-24,2018-02-08
6062480207,938594930066,295,25,2009-04-15,2020-06-08
8420376462,653805116530,265,11,2009-09-08,2011-05-30
6009306633,339683367061,317,28,2011-09-15,2018-10-14
3501617145,941644719566,47,20,2018-01-09,2029-09-25
6877088718,259276619581,327,30,2009-07-23,2011-08-07
5782917312,433557106467,53,17,2008-03-22,2014-03-01
7402156565,507353089779,288,8,2013-10-20,2025-04-12
5983040262,437658759637,142,8,2013-08-17,2017-07-16
1541727602,363431022829,276,20,2012-02-01,2019-11-26
7880792500,404719420021,253,7,2010-01-05,2016-02-02
7465315875,251588927526,262,12,2013-10-06,2019-03-06
3490810754,458884380314,218,5,2011-01-07,2018-12-31
5498662141,801240963724,60,27,2015-03-02,2022-09-16
4905045778,836760031827,55,11,2009-05-30,2017-03-05
6030394381,706789031026,2,21,2009-02-07,2010-02-23
6970863243,248340090366,83,25,2016-02-08,2027-01-19
2757148917,180972893496,360,20,2016-07-11,2026-09-11
9607738292,343348199432,270,18,2009-03-03,2012-06-17
6327099633,789971122093,63,16,2013-02-25,2022-01-27
1623618056,828162028079,138,14,2011-04-22,2019-02-22
3785223991,740456004031,159,1,2011-02-13,2020-01-14
6291904250,375760116762,4,20,2015-12-17,2016-09-02
2969551880,573079207070,164,16,2011-10-19,2017-11-21
4526907220,323974025536,87,29,2017-12-24,2028-07-24
7140780133,903593396955,143,2,2017-11-18,2029-05-09
9439794913,100731458536,145,27,2016-05-13,2026-02-07
4483179690,296784502775,94,0,2016-02-25,2017-05-06
1687800145,753248968456,216,10,2009-12-15,2019-07-28
2990095662,230887892790,196,24,2019-02-04,2028-04-18
2450647412,635273398598,353,25,2014-07-05,2015-10-22
5644310659,679226804169,272,18,2019-03-30,2026-03-01
2044775846,933465347503,364,20,2014-04-07,2018-08-20
6929081379,830473859519,272,22,2010-07-24,2012-10-02
8838868872,142935244961,262,28,2015-02-25,2021-07-01
2911500268,735080437031,352,13,2018-03-24,2027-05-16
8275227813,887466667158,327,2,2017-07-05,2020-03-01
3898033183,327500562656,279,28,2011-02-07,2018-01-26
6803033605,543889382131,274,16,2015-01-25,2023-09-10
3278930155,208362300002,85,10,2008-05-16,2013-03-12
8826913222,979523512368,355,22,2008-08-05,2018-09-28
7814515302,560478205621,276,9,2015-07-21,2024-08-18
6405726313,246383829763,187,18,2016-07-26,2021-08-12
6090458821,603259677699,363,0,2019-01-03,2020-07-04
9979435457,727917417377,281,16,2010-06-11,2020-04-18
9810995126,903282800973,298,5,2008-08-04,2009-08-13
2968228099,929654091447,163,28,2017-02-28,2020-11-04
7098020902,785734206039,363,20,2011-01-10,2022-03-18
8175058920,341089433636,361,3,2019-09-17,2022-07-03
4407165395,498172976234,339,7,2019-10-18,2024-10-12
1205878035,497626400691,18,22,2010-01-15,2015-11-25
3475610713,352254611071,129,2,2016-04-28,2020-09-04
5659608827,924675911619,173,10,2016-05-30,2022-07-24
1864017071,987607113855,202,15,2017-12-08,2020-01-30
5767958493,628175572263,138,11,2009-01-03,2014-01-26
9483037138,898887224557,178,5,2012-05-19,2023-01-20
7889701978,456915704734,98,28,2017-12-12,2019-01-08
9365360043,310253550911,27,18,2011-03-19,2015-11-20
8938926089,611214128411,168,4,2018-07-13,2029-07-21
3344661132,432771529769,50,16,2016-09-17,2019-02-23
2188522673,256196251514,319,23,2014-08-20,2016-01-01
2677144397,706523034141,20,13,2015-04-29,2027-03-12
4526428650,763684584303,50,4,2014-08-09,2018-08-23
1153503036,489507473184,93,4,2019-04-07,2028-02-17
1893139228,114443639191,305,14,2009-08-18,2018-08-29
3827237206,524899237949,353,26,2016-06-24,2021-12-15
8485801706,539923927003,330,22,2014-12-25,2025-10-26
5863575978,961796311358,15,2,2019-05-16,2029-01-23
3922548166,382281827982,174,18,2018-09-26,2027-11-18
4426807356,487436808099,183,5,2010-04-27,2017-11-16
7222324874,948998527549,275,15,2009-12-15,2013-02-26
8949999609,169642707232,254,23,2011-06-30,2020-01-12
6008471394,648063626906,337,24,2011-06-11,2018-08-08
2424667763,973518718979,243,27,2018-12-24,2025-06-24
3711459803,395412867348,153,29,2019-10-03,2026-01-16
6252616291,644456528921,95,28,2015-05-12,2025-07-29
2212583330,554723025523,87,18,2015-04-04,2023-04-14
2208135272,765451198273,200,6,2008-06-16,2015-04-28
8209985243,191923952100,73,6,2010-06-03,2019-06-04
3593918468,985140234179,120,7,2013-09-01,2018-12-09
6017700726,455914162634,60,9,2008-02-12,2015-03-13
5235909781,148014862975,55,17,2014-05-19,2016-12-12
3271851584,310347567782,95,9,2009-02-18,2014-06-04
2022982987,440684839470,111,28,2016-01-17,2024-12-18
3258829939,835895999054,219,16,2017-08-31,2021-05-05
8044375822,224411892798,86,29,2012-07-05,2016-08-14
1423981101,241797524905,35,30,2018-10-30,2029-01-22
2595969531,895461495972,7,30,2018-07-02,2020-12-19
4346638043,329227000295,58,20,2008-04-22,2009-10-12
2327502346,232105322349,225,29,2016-06-10,2020-02-14
3358670537,443503601850,151,22,2011-09-10,2013-02-02
9629903888,198976667010,240,6,2010-10-06,2018-12-04
4039737646,642255581382,81,25,2008-10-18,2014-05-12
8483205512,980029392447,6,11,2012-10-08,2015-01-19
5346310712,766564559073,71,2,2011-08-19,2014-04-11
3721489868,554893579164,91,17,2014-02-13,2017-10-11
8005101997,731551946449,205,25,2014-07-16,2021-01-23
1536500104,470265195505,54,10,2009-02-05,2009-12-24
5892128906,857835679043,324,7,2018-01-09,2021-06-25
4509385091,138646363296,153,11,2018-04-21,2023-08-29
1900385414,398971952397,261,27,2018-10-01,2027-01-25
8193236413,879182819960,302,13,2018-06-01,2019-09-06
5986094248,788461248665,192,16,2018-10-24,2029-08-06
8978362104,351794353249,153,21,2014-04-24,2023-02-01
5697220563,360457176041,260,18,2010-05-07,2013-07-04
2365583537,882195424251,33,4,2013-08-06,2021-10-31
4323810844,939200336285,142,19,2018-01-06,2020-07-02
8348096355,121454261855,358,25,2017-02-06,2024-06-07
9149886132,733890114159,158,2,2018-02-23,2021-10-06
7236752508,756536136207,172,20,2008-12-05,2010-07-25
5348779318,976821275105,42,28,2008-10-26,2010-08-05
7709840669,491771301830,356,24,2014-09-10,2014-12-27
4129159130,520457489110,351,7,2013-06-23,2018-10-20
2049779018,728563168931,185,11,2018-12-01,2022-06-01
6891135892,483018383674,212,18,2014-11-07,2016-10-24
6964679316,143845329936,110,24,2013-02-05,2022-08-12
8536160914,221260602328,283,12,2017-06-04,2020-03-24
8446632353,283448830615,270,25,2018-07-18,2029-05-22
1229111595,698228434047,2,16,2008-05-11,2009-11-01
3344607893,994816428708,222,14,2015-09-13,2022-12-18
3442620500,377035898830,215,7,2017-10-30,2028-02-12
4496184229,845326536461,155,30,2011-10-18,2013-04-20
4196274379,771163442275,219,22,2014-06-17,2017-05-15
7708498254,385007470804,348,16,2017-02-14,2028-06-02
1842618294,215453845591,344,9,2012-12-08,2019-03-02
5798244328,328855286338,333,9,2013-12-07,2024-03-04
3231097369,227309964563,229,26,2017-01-04,2019-05-29
3630225466,629719649906,149,13,2018-10-13,2020-04-24
1362422563,380134623159,224,18,2011-08-14,2016-05-03
3134290661,427075881342,151,30,2017-10-10,2019-11-12
8759715659,125582265325,179,12,2015-02-16,2024-10-08
5264579591,924079834731,167,24,2016-09-03,2023-08-15
7342943341,331479172317,254,9,2009-03-12,2012-03-12
8219023596,956644723483,261,12,2014-04-18,2020-03-01
1460511557,435624718485,239,25,2017-03-08,2026-03-11
3787085894,593328694090,37,17,2015-12-19,2023-07-17
4726646442,969964967272,175,4,2018-07-13,2019-03-28
2135089728,710774206932,307,29,2013-01-02,2014-04-23
1012032662,789667400722,344,26,2019-05-04,2023-04-11
5743013726,810488757717,168,23,2017-09-17,2023-08-24
1171500227,852014397965,353,12,2014-08-28,2018-01-28
7130397034,551418452331,64,29,2015-11-09,2024-01-24
1616374913,465051840835,300,2,2019-03-02,2027-06-11
7130300192,212618087806,49,12,2012-03-16,2023-10-30
4605033634,507656719932,296,30,2012-04-09,2013-03-14
7853561983,210946591128,95,22,2015-01-22,2016-09-12
3983684369,379954174911,362,19,2018-09-26,2027-04-22
8195890522,825211431914,365,24,2019-02-26,2021-06-10
9635395376,799768179033,359,17,2018-04-30,2020-05-25
8274814668,121523219527,103,0,2011-01-01,2013-11-15
7732109353,597264166338,36,15,2014-08-11,2019-07-08
3659852703,677143528995,339,11,2008-10-15,2013-10-01
1495973802,440751635952,119,24,2019-08-16,2029-08-28
3145524795,553726262988,188,16,2019-04-30,2028-07-07
1133499635,283783489162,109,28,2013-09-08,2017-05-31
7531369868,936190773332,174,1,2010-08-31,2021-07-29
2224105512,351251862837,265,30,2013-10-25,2017-05-26
2722905147,472855392319,177,18,2019-02-12,2025-06-07
9939137955,956947975920,319,26,2008-05-26,2017-08-23
8528207154,743535618308,123,27,2009-07-18,2013-12-26
4031608104,629980211531,88,25,2015-02-27,2024-07-05
3185300097,431155359548,110,16,2008-09-27,2018-05-08
9143327480,975199175580,184,20,2008-02-24,2008-08-12
2945092375,544664300230,343,7,2012-05-19,2021-01-04
7829827033,291230276943,254,7,2017-01-19,2021-09-01
3966918413,798946974561,123,18,2011-12-09,2016-05-17
1060133951,323005312334,62,20,2015-01-08,2017-03-25
8561679778,775055500131,125,28,2010-11-18,2012-09-08
4875114996,282098247658,245,0,2010-11-09,2018-05-01
4797499964,684562604123,76,16,2018-03-21,2026-08-30
7543167803,400129577976,30,8,2016-07-10,2017-07-31
4432770368,243804205249,215,10,2019-12-18,2021-05-03
1645542583,219439355090,232,14,2018-06-21,2029-02-01
9615743054,201594586310,42,28,2012-01-11,2016-05-08
1838361818,991877036340,92,0,2016-06-20,2022-01-30
4295353548,472394966915,327,13,2017-06-20,2025-02-28
7602963592,489567387397,214,28,2011-04-23,2012-12-18
6231101735,710034818855,7,9,2011-08-18,2018-10-26
2276977524,826040670285,20,18,2008-11-04,2017-06-08
5780145827,122429328624,75,21,2012-11-19,2013-05-16
5395948009,886376128448,12,24,2013-03-07,2015-03-07
4255231375,836940590385,132,8,2008-11-04,2020-01-05
6377898466,941100060234,88,30,2008-11-16,2015-04-05
5830951671,241577471436,312,5,2009-02-14,2012-07-02
7795860048,721952659743,180,26,2010-04-26,2010-11-03
7295200957,969128818474,57,25,2016-07-04,2023-11-24
9361629041,992720736330,293,20,2008-04-26,2010-11-07
3899270664,181348511822,50,16,2015-03-10,2023-03-25
1803135738,593636483149,352,9,2010-11-01,2014-03-08
6882591847,224219710673,331,23,2017-08-14,2023-03-09
4131011714,976063870334,314,25,2014-02-18,2022-02-16
2673529085,377765520444,100,16,2015-06-02,2024-08-28
4695057915,686930576728,336,2,2019-10-08,2024-01-31
2224802634,621830165689,65,21,2008-02-13,2013-04-26
8598396895,442900213957,215,1,2013-10-01,2014-09-11
7704801483,500094625370,91,20,2011-02-15,2011-09-06
8044356658,696196192108,166,20,2016-06-07,2024-06-20
6730029461,932773116972,223,22,2018-04-08,2018-10-20
2287846091,373482098660,196,22,2011-08-30,2021-05-24
4853088584,977859208688,207,4,2013-03-20,2020-12-08
9895705042,660085621017,328,22,2017-12-05,2024-05-18
1677237103,728513715988,40,24,2015-11-12,2021-06-03
6379906144,297122937670,86,2,2018-06-15,2028-08-15
5026386172,405929181114,331,20,2009-02-20,2011-10-11
5508529120,196934943705,230,9,2008-10-06,2020-07-22
9407639347,348497976092,362,22,2010-10-26,2021-10-19
5655059308,216147117770,48,5,2012-08-30,2016-10-13
9268533944,577235616946,1,10,2013-10-02,2025-08-01
4251944145,200018026954,301,23,2018-03-23,2018-03-23
2669702457,616540712805,110,29,2017-03-28,2021-10-16
7719836634,879449671809,341,28,2013-08-10,2021-05-31
4288717565,239559156401,213,21,2011-04-21,2014-01-15
1492542376,158085757921,235,8,2012-07-15,2023-06-23
1701770375,161644860384,196,25,2015-01-25,2019-04-06
3570554136,460902119459,196,1,2009-08-02,2020-12-29
4780981842,620465365053,115,27,2011-05-29,2016-11-07
6969230314,329920882200,337,28,2010-01-20,2020-08-17
6720676044,502755042896,311,20,2009-06-11,2019-10-26
9914871509,973700995405,36,11,2018-10-24,2021-11-09
2299091820,189107274774,159,7,2019-05-18,2023-10-05
7302598150,489061201061,162,14,2009-06-19,2020-08-27
9638364318,522729434463,13,17,2016-02-07,2018-02-26
4150393446,851323529992,309,27,2008-06-24,2011-02-19
5012539920,527754602625,169,2,2012-03-15,2021-01-04
2776331874,783240035415,88,21,2012-06-03,2023-09-24
6310120390,378331415648,28,13,2012-03-13,2019-12-31
4170224727,451666756306,142,11,2013-02-03,2018-03-26
9229424828,220800298415,308,7,2014-06-21,2024-07-10
1399426730,859487602950,141,12,2015-12-05,2018-12-05
5870758054,914650929779,87,8,2014-08-18,2025-01-28
9904279858,743460965560,237,10,2009-05-25,2010-05-21
1418196871,975809677958,320,28,2008-10-02,2012-07-17
6222457787,494278142330,217,16,2009-09-02,2016-04-18
6836453475,479579986304,280,28,2011-09-22,2022-04-29
2429101698,678960452761,297,4,2019-01-24,2030-09-14
6971596772,285403967085,350,18,2014-09-06,2022-05-07
5517141308,559780475222,61,17,2017-11-03,2029-08-15
9722942868,196071811390,26,3,2008-02-11,2008-02-19
3549887081,775456011145,82,7,2016-01-19,2025-01-30
3366111939,879651179460,168,11,2008-05-17,2018-05-05
4505327806,308847960487,155,16,2014-06-18,2018-09-07
1191530020,542207596827,209,22,2009-02-02,2016-03-25
1398875551,286102663525,350,21,2012-05-29,2013-12-16
5928565108,390195327187,153,6,2013-02-28,2022-11-07
2900919057,856194430572,297,6,2013-12-29,2016-08-30
8044155630,397753720110,133,25,2009-11-28,2019-06-23
8155421421,254637986034,56,19,2016-12-17,2025-04-01
6565042423,842210955444,16,2,2012-04-29,2014-09-16
8777788118,625360088058,71,13,2011-11-20,2015-03-11
1331537446,983395356804,162,18,2009-10-15,2012-01-05
9596683374,535432334396,298,3,2017-04-15,2027-05-20
9122120037,854652060977,140,6,2012-11-23,2017-06-18
8004764149,411888499201,194,29,2016-11-29,2021-08-18
1102670086,880911110129,28,29,2018-01-17,2029-08-12
8850067733,176265141878,131,8,2011-02-20,2020-10-26
8280973606,158484781858,297,26,2008-08-16,2016-11-17
4826131931,834715451862,300,0,2011-11-20,2013-05-27
2830648343,156535681026,261,24,2012-04-25,2017-07-24
4965706088,454071589387,320,30,2008-05-16,2018-04-18
9421433188,655122233963,282,5,2018-11-29,2026-04-13
4299585461,108659504738,155,22,2018-06-17,2023-05-16
7162207981,630344167242,247,6,2018-06-04,2029-06-03
3211148030,540730274862,188,0,2012-01-15,2020-04-06
6605817512,126497998250,36,23,2013-03-21,2024-01-15
3447685626,839654359256,275,14,2013-08-20,2024-12-13
3515038920,237971418929,71,18,2019-01-27,2019-03-17
8739482102,359998310275,5,25,2018-12-22,2029-01-05
1678484835,448526222718,1,26,2011-04-26,2020-04-24
9956340540,795874572860,182,25,2013-12-27,2016-03-19
1694100150,363661092413,174,14,2017-03-09,2018-08-09
1097767991,878648472915,48,25,2017-02-03,2021-10-18
8308465648,549283778942,252,11,2018-03-18,2018-05-27
7090479702,995429976557,166,22,2008-01-21,2016-10-28
5415100404,757883250156,245,21,2009-12-27,2010-11-14
1712937024,602278332817,305,7,2008-05-30,2016-03-10
5350451149,584556259775,98,10,2017-12-23,2020-03-02
5871686303,978991034168,89,21,2018-11-11,2026-02-11
3006634861,938597968157,261,5,2017-01-30,2023-07-13
7073629426,790141935589,253,23,2010-08-01,2016-01-13
1362164143,648937526472,120,19,2015-04-09,2026-04-18
5320583373,609691702126,345,0,2008-03-24,2019-09-21
7738404527,862032907356,247,2,2009-07-16,2011-04-01
2438119753,480062191200,182,3,2018-06-26,2022-02-04
2123920058,301342091954,50,10,2011-05-11,2019-12-30
9002134518,736794734507,298,10,2011-09-01,2019-03-22
1784588042,825170610656,343,15,2008-06-17,2015-02-20
1820697046,483068809440,223,28,2018-03-01,2028-08-22
9935627818,821813027201,254,2,2017-08-30,2019-03-14
9070004482,857915968234,97,14,2010-01-25,2020-12-03
2546537695,371565185390,113,4,2016-10-17,2026-12-16
4457919002,178939156069,297,26,2014-08-08,2021-07-16
2560331606,217741653572,338,0,2015-11-07,2027-01-25
9975870837,260975328268,220,28,2013-01-31,2023-01-01
8880418254,331207819031,209,8,2009-11-29,2012-12-12
6660815137,558125128805,205,6,2010-09-05,2011-08-20
